ID	Genus	species	assembly_method	Phylum
ARG085	Chytriomyces	hyalinus	spades	Chytridiomycota
ARG121	Chytriomyces	hyalinus	spades	Chytridiomycota
JEL0065	Siphonaria	sp.	dipspades	Chytridiomycota
JEL0112	Entophlyctis	sp.	spades	Chytridiomycota
JEL0117	Rhizoclosmatium	sp.	dipspades	Chytridiomycota
JEL0120	Entophlyctis	luteolus	spades	Chytridiomycota
JEL0129	Entophlyctis	luteolus	spades	Chytridiomycota
JEL0176	Chytriomyces	hyalinus	dipspades	Chytridiomycota
JEL0345	Chytriomyces	hyalinus	dipspades	Chytridiomycota
JEL0379	Geranomyces	variabilis	spades	Chytridiomycota
JEL0388	Phlyctochytrium	planicorne	dipspades	Chytridiomycota
JEL0389	Geranomyces	variabilis	spades	Chytridiomycota
JEL0522	Lobulomyces	angularis	spades	Chytridiomycota
JEL0563	Geranomyces	michiganensis	spades	Chytridiomycota
JEL0566	Geranomyces	variabilis	spades	Chytridiomycota
JEL0567	Geranomyces	variabilis	spades	Chytridiomycota
JEL0680	Kappamyces	sp.	dipspades	Chytridiomycota
JEL0708	Gaertneriomyces	sp.	dipspades	Chytridiomycota
JEL0728	Terramyces	sp.	dipspades	Chytridiomycota
JEL0754	Phlyctochytrium	bullatum	spades	Chytridiomycota
JEL0764	Rhizophlyctis	rosea	spades	Chytridiomycota
JEL0774	Gonapodya	sp.	spades	Chytridiomycota
JEL0797	Podochytrium	sp.	dipspades	Chytridiomycota
JEL0801	Unknown Rhizophydiales	sp.	dipspades	Chytridiomycota
JEL0829	Kappamyces	sp.	dipspades	Chytridiomycota
JEL0837	Blyttiomyces	sp.	spades	Chytridiomycota
JEL0838	Boothiomyces	sp.	dipspades	Chytridiomycota
JEL0842	Unknown Chytridiales	sp.	dipspades	Chytridiomycota
JEL0866	Boothiomyces	sp.	dipspades	Chytridiomycota
JEL0917	Rhizoclosmatium	hyalinum	dipspades	Chytridiomycota
KLL_TL_06062013	Dinochytrium	kinnereticum	spades	Chytridiomycota
JEL0078	Nowakowskiella	sp.	spades	Chytridiomycota
JEL0095	Thoreauomyces	humboldtii	spades	Chytridiomycota
JEL0318	Rhizophlyctis	rosea	spades	Chytridiomycota
JEL0407	Nowakowskiella	sp.	spades	Chytridiomycota
JEL0476	Clydaea	vesicula	spades	Chytridiomycota
JEL0513	Physocladia	obscura	spades	Chytridiomycota
JEL0729	Irineochytrium	annulatum	spades	Chytridiomycota
JEL0916	Quaeritorhiza	haematococci	spades	Chytridiomycota
PLAUS21	Boothiomyces	macroporosum	dipspades	Chytridiomycota
CCIBt4013	Cladochytrium	tenue	spades	Chytridiomycota
JEL0888	Unknown	unknown	spades	Chytridiomycota
WJD170	Borealophlyctis	nickersoniae	dipspades	Chytridiomycota
Burma_1F	Allomyces	arbuscula	dipspades	Blastocladiomycota
California_12	Allomyces	javanicus	dipspades	Blastocladiomycota
